Classical;Basal;Normal_Stroma;Activated_Stroma
KRT12;NMB;LAMA4;LOC100126784
KRT18;NMBR;LAMB2;LOC100128056
KRT18P30;NMI;LAMB4;LOC100128178
KRT18P42;NMU;LAMC1;LOC100129397
KRT18P49;NOX5;LARP6;LOC100129754
KRT2;NPAL3;LCA5;LOC100131283
KRT20;NPEPPS;LCN6;LOC100131532
KRT8;NR1D1;LDB2;LOC100133627
KRT8P15;NRIP1;LDHB;LOC100192378
KRTCAP3;NT5C2;LEP;LOC283658
LAD1;NTF4;LEPROT;LOC284242
LASP1;NTSR1;LGI1;LOC285548
LASS6;NUDT16P;LGI2;LOC338620
LCOR;NUDT4;LGI4;LOC387763
LCT;NUFIP2;LHFP;LOC389386
LDLR;NUP62CL;LHX6;LOC391334
LFNG;OBFC1;LIFR;LOC401076
LGALS3;ORMDL2;LIMS2;LOC401097
LGALS4;OSBPL3;LIPE;LOC401577
LGALS9;OSMR;LIPF;LOC440181
LGALS9C;OVOS2;LL22NC03-75B3.6;LOC441768
LGR5;OXR1;LMO3;LOC541471
LGR6;P2RY2;LMOD1;LOC641518
LIMA1;PABPC3;LOC100127983;LOC642413
LIPH;PADI1;LOC100128098;LOC651721
LLGL2;PAEP;LOC100128239;LOC731724
LMO4;PAK6;LOC100128252;LOH3CR2A
LMO7;PARP4;LOC100129788;LOX
LMTK3;PCDH11X;LOC100130868;LOXL1
LNX1;PDCL2;LOC100130890;LOXL2
LOC100128008;PERP;LOC100131720;LOXL3
LOC100128116;PFKP;LOC100132317;LPAR4
LOC100128893;PHACTR3;LOC100190890;LPPR4
LOC100128918;PHLDA1;LOC123688;LRP1
LOC100128979;PHLDA3;LOC199800;LRP12
LOC100130193;PIGA;LOC283481;LRRC15
LOC100130623;PIGG;LOC284112;LRRC17
LOC100130741;PIWIL1;LOC285550;LRRC25
LOC100131642;PJA1;LOC339260;LRRC32
LOC100133019;PKD1L2;LOC339524;LRRC8C
LOC120376;PKIB;LOC375196;LRRN2
LOC124220;PLA2G16;LOC389895;LST1
LOC129293;PLAG1;LOC399959;LTBP1
LOC149501;PLCD3;LOC400236;LTBP2
LOC151162;PLEK2;LOC400456;LUM
LOC158402;PLEKHA5;LOC400642;LUZP1
LOC255411;PLEKHA7;LOC401021;LUZP2
LOC25845;PLEKHF2;LOC492311;LXN
LOC283278;PLEKHG3;LOC54492;LZTS1
LOC284422;PLEKHG5;LOC572558;MAEL
LOC286126;PLSCR1;LOC63920;MAF
LOC339843;PMAIP1;LOC643837;MAFB
LOC340888;PMEPA1;LOC644538;MAGED2
LOC388242;PODXL;LOC644662;MAML2
LOC388564;PON2;LOC645166;MANBA
LOC389857;PPFIA1;LOC645323;MAP3K12
LOC392335;PPL;LOC646609;MAP4K4
LOC400573;PPM2C;LOC648795;MAP4K5
LOC400655;PPP1R13L;LOC728142;MARCKS
LOC400831;PPP1R14C;LOC728264;MATN3
LOC401913;PPP1R15B;LOC729085;MCL1
LOC440335;PPP1R1C;LOC729970;MCTP1
LOC441294;PPP1R2;LOC92973;MEGF6
LOC553158;PPP4R1;LOH12CR2;MEIS3
LOC57228;PRAGMIN;LONRF1;MEST
LOC643100;PRB1;LPAR1;METRNL
LOC644950;PRB2;LPHN3;MEX3B
LOC646090;PRDM13;LPL;MFAP2
LOC647954;PRKAA1;LPP;MFAP5
LOC728199;PRKCI;LRCH2;MFSD1
LOC730102;PRKG2;LRFN5;MFSD7
LOC730405;PRO1880;LRP11;MGC24103
LPAR5;PROM2;LRRC4C;MGC4294
LPCAT4;PRPF3;LRRCC1;MICAL2
LRBA;PRRG4;LSAMP;MKL1
LRCH1;PRSS22;LY6H;MMD
LRRC1;PRSS27;MAB21L1;MMP11
LRRC16A;PSCA;MAFF;MMP12
LRRC19;PSD3;MAL;MMP16
LRRC31;PSPC1;MAMDC2;MMP19
LRRC8E;PTGES;MAOA;MMP2
LSR;PTHLH;MAOB;MMP23B
LY75;PTK6;MAP1B;MMP3
LYPD6;PTPRJ;MAPK10;MMP7
LYPD6B;PVRL1;MARK1;MMP9
LYSMD4;PVRL4;MATN2;MN1
LYZ;QRFPR;MCAM;MNDA
LYZL4;RAB38;MCC;MOXD1
MACC1;RAC1;MDGA1;MPP1
MAL2;RAET1E;MDP-1;MR1
MANSC1;RAG1;ME3;MRC1L1
MAP3K13;RALB;MEIS3P1;MRC2
MAP7;RALGPS2;MEOX2;MRVI1
MAPRE2;RASA1;MFAP4;MS4A2
MARCKSL1;RBM41;MGC16169;MS4A4A
MARVELD2;RBM8A;MGC3032;MS4A7
MARVELD3;RCE1;MGC42105;MSC
MBOAT1;REEP3;MGP;MSN
MDK;REM2;MID1;MSR1
MDS1;RGS20;MID2;MST150
MEP1A;RHBDF1;MIER1;MX2
MEP1B;RHCG;MKL2;MXRA5
METTL7B;RHOD;MKX;MXRA8
MFSD4;RHOF;MMRN1;MYH9
MFSD6;RHOV;MOCS1;MYOF
MGAT3;RICTOR;MPDZ;NAGA
MGC10981;RIOK3;MRAP;NAGK
MGC13057;RIPK2;MSRB3;NAV3
MGLL;RIPK4;MTMR2;NCF2
MGST2;RNASEL;MTR;NID2
MGST3;RNF141;MUSTN1;NKX3-2
MIA;RNF169;MXI1;NLRP3
MICALCL;RNF2;MXRA7;NNMT
MICALL2;RNF217;MYCT1;NOD2
MKRN1;ROD1;MYH10;NOTCH2
MLLT3;ROPN1;MYH11;NOX4
MLN;ROPN1B;MYL5;NPL
MLPH;RP11-544M22.4;MYL9;NPTX1
MMEL1;RPL39L;MYLK;NRP2
MMP1;RSF1;MYOC;NTM
MMP15;RSPH3;MYRIP;NTNG2
MOBKL2B;RSRC2;N6AMT2;NUAK1
MS4A8B;RTKN2;NAALADL1;NUDT10
MSLN;RYK;NACAD;OAS2
MSMB;S100A11;NAP1L5;OAS3
MST1R;S100A2;NBR1;ODF3L1
MSX2;S100A4;NCAM2;ODZ4
MSX2P1;S100A6;NCOA1;OGFRL1
MTM1;S100A7;NCRNA00153;OLFML2B
MTMR11;SAGE1;NDN;OLFML3
MUC1;SAMD4B;NDUFA4L2;OLR1
MUC13;SAMD9;NEDD9;OMD
MUC17;SCEL;NEGR1;OR2A9P
MUC20;SCGB2A2;NEK1;OSBPL10
MUC5AC;SCNM1;NEURL2;OSBPL8
MUPCDH;SCNN1A;NEUROD6;OSM
MVP;SCRN1;NEXN;OSTM1
MYB;SDC4;NFIA;P2RX4
MYD88;SDCCAG8;NFIB;P2RY6
MYO15B;SDR42E1;NFYB;P4HA3
MYO1A;SEC31A;NGFR;PABPC4L
MYO1D;SEMA3A;NID1;PABPC5
MYO1E;SERPINB13;NKAIN2;PALLD
MYO5B;SERPINB3;NLGN1;PANX1
MYO5C;SERPINB4;NLGN3;PAPPA
MYO6;SERPINB5;NLGN4X;PAPSS1
MYO7B;SERTAD2;NLGN4Y;PCDH7
NAPEPLD;SERTAD3;NMUR1;PCDHB10
NAPRT1;SERTAD4;NOV;PCDHB14
NAT1;SETD4;NPPA;PCDHB16
NAT15;SFN;NPR1;PCDHB18
NCOA2;SGMS2;NPTN;PCOLCE
NCOA7;SH2D3A;NPY2R;PDGFB
NCRNA00114;SH2D4A;NR1D2;PDGFC
NEK3;SH3GLB2;NR2F2;PDGFRB
NET1;SH3TC2;NR4A1;PDGFRL
NHEDC2;SHFM1;NR4A2;PDIA5
NHS;SIM2;NR4A3;PDLIM4
NKX6-2;SIX4;NRG2;PDLIM7
NMUR2;SKAP2;NRN1;PDPN
NOS2;SKIL;NRP1;PEA15
NOSTRIN;SLC12A6;NRXN1;PENK
NOX1;SLC16A3;NRXN3;PFTK1
NOXA1;SLC2A1;NT5DC1;PGDS
NOXO1;SLC35A1;NTF3;PHACTR2
NPAL2;SLC38A1;NTN1;PHF13
NPAS2;SLC39A1;NTRK2;PHLDB1
NPC1L1;SLC39A11;NTRK3;PICALM
NPNT;SLC4A11;NUCKS1;PLA2G7
NQO1;SLC5A10;NUDT11;PLA2R1
NR1I2;SLFN13;NXPH3;PLAT
NR2F6;SLK;OAZ2;PLAU
NT5C1B;SLPI;OCRL;PLAUR
NXF3;SMAD3;OGN;PLB1
OAS1;SMURF1;OLFM1;PLEKHO2
OASL;SNAI2;OPCML;PLK3
OCC-1;SNCG;OPHN1;PLOD2
OCEL1;SOX13;OR51E1;PLSCR3
OCIAD2;SPATA17;OR51E2;PLXDC1
OCLN;SPERT;OSR1;PLXDC2
ODAM;SPIN4;OSR2;PLXNC1
ONECUT2;SPINT1;OXCT1;PLXND1
OPLAH;SPINT2;P11;PMP22
OR7E13P;SPRR1B;P2RY14;PODNL1
OSBPL2;SPRR2D;PALM;POSTN
OSBPL7;SPRR3;PALMD;PPAPDC1A
OVGP1;SRCAP;PAPOLG;PPEF1
OVOL1;SSH3;PARVA;PPFIA2
OVOL2;ST3GAL4;PBX1;PPIC
PAFAH2;STK24;PBXIP1;PRCP
PAK1;STK3;PCBP3;PRICKLE1
PAQR4;STK35;PCDH18;PRICKLE2
PAQR8;STS;PCDH19;PRKD1
PARD6B;STYK1;PCDHB12;PRND
PARP12;SUDS3;PCDHB15;PROCR
PARP3;SUV420H1;PCDHB2;PRR16
PAX2;SVOPL;PCDHB7;PRRC1
PCDH1;SYT8;PCM1;PRRX1
PCDH24;TACSTD2;PCNP;PRRX2
PCSK7;TAF1A;PCSK5;PRSS23
PDE11A;TAF1D;PCYOX1;PSAP
PDPK1;TANK;PDE1A;PSMAL
PDXDC1;TBC1D3B;PDE1C;PTAFR
PDZD3;TBL1XR1;PDE2A;PTGER2
PDZK1IP1;TCEB1P3;PDE3A;PTGER3
PELI1;TCP11L2;PDE5A;PTGFRN
PEX11B;TCTEX1D2;PDE9A;PTGIS
PGC;TDRD5;PDGFA;PTGS1
PGM2L1;TES;PDGFRA;PTGS2
PHLDA2;TFAP2A;PDK4;PTK7
PI3;TGFA;PDLIM5;PTPLAD2
PIGR;TGFB2;PDZD2;PTPN9
PIK3C2B;TGM2;PDZRN3;PTPRE
PIP5K1B;TGM5;PDZRN4;PTPRG
PITX1;TINAGL1;PECAM1;PXDN
PIWIL4;TIPARP;PEX19;PXDNL
PKDREJ;TJP2;PFDN5;RAB20
PKP2;TMC7;PGCP;RAB31
PKP3;TMEM154;PGM5;RAB32
PKP4;TMEM159;PHLDB2;RAB34
PLA2G10;TMEM184B;PHOX2B;RAB3IL1
PLA2G4A;TMEM191A;PHYHIP;RAB42
PLAC8;TMEM202;PI16;RAB7B
PLCB3;TMEM49;PID1;RAI14
PLCH1;TMEM65;PIGP;RAP2A
PLEKHA6;TMEM79;PIK3CA;RARB
PLEKHJ1;TMEM87B;PIK3R1;RARRES2
PLLP;TMOD3;PIK3R3;RASGRF2
PLS1;TMPRSS11A;PIR;RASL11B
PLXNB1;TMPRSS11D;PITPNB;RBM9
PMM2;TMPRSS11E;PJA2;RCN3
POF1B;TMPRSS11F;PKD2;RECK
POLD4;TMSB10;PLA2G2E;RFTN1
POU2F3;TNFRSF10A;PLA2G5;RGS1
PPAP2C;TNFRSF10B;PLCB1;RGS16
PPARG;TNFRSF21;PLCB4;RHOQ
PPFIBP2;TNFRSF6B;PLCE1;RIN2
PPP1R13B;TNS4;PLCXD3;RNASE2
PPP1R14D;TOMM20;PLIN;RNASE3
PPP1R1B;TP63;PLN;RNF130
PRELID2;TPBG;PLP1;RNF144A
PREP;TPH2;PLS3;RNF149
PRICKLE4;TPRXL;PLSCR4;ROBO1
PRKAB1;TRERF1;PLTP;ROR2
PRKCD;TRIM29;PLVAP;RSAD2
PROM1;TRIM4;PLXNA4;RSU1
PRR13;TRIM40;PMP2;RUNX1
PRR15;TRIM56;PNCK;RUNX2
PRSS12;TRIM6;PODN;SAMD14
PRSS8;TRIP10;POU6F1;SCPEP1
PS1TP4;TRIP6;PPAP2A;SCT
PSAPL1;TRPV4;PPAP2B;SCUBE2
PSEN1;TSC22D2;PPM1D;SDC2
PSMB10;TSPAN31;PPP1R12A;SEC23A
PSORS1C1;TSPAN6;PPP1R12B;SEMA3C
PTH2R;TTC7A;PPP1R12C;SEMA5B
PTPRF;TTC9;PPP1R14A;SEMA7A
PTPRH;TUBD1;PPP3CA;8-Sep
PTPRR;UBA6;PRDM6;SERPINB2
PVRL2;UBE2H;PRELP;SERPINB8
PYCARD;UBE2W;PRKAR2B;SERPINE1
ProSAPiP1;UBXN7;PRKCDBP;SERPINF1
RAB11FIP1;UCA1;PRKG1;SFRP2
RAB11FIP4;ULBP2;PRSS35;SFRP4
RAB15;UNC84A;PRUNE2;SGIP1
RAB22A;USP37;PSIP1;SGK1
RAB25;USP43;PTBP2;SH2B3
RAB27B;VAMP4;PTCHD1;SH3PXD2B
RAB40B;VCPIP1;PTEN;SH3RF3
RAB40C;VGLL1;PTGFR;SIAH3
RALGPS1;VSTM2L;PTK2;SIGLEC9
RAPGEFL1;WBSCR27;PTN;SIGLECP3
RARRES3;WBSCR28;PTPN13;SIRPA
RASAL1;WDR45L;PTPRD;SLAMF8
RASEF;WDYHV1;PTPRM;SLC12A4
RASSF6;WEE1;PTPRZ1;SLC12A8
RASSF7;WFDC2;PTX3;SLC15A3
RBM35A;WISP3;PURG;SLC16A2
RBM35B;WNT10A;RAB13;SLC16A6
RBM47;WNT5B;RAB23;SLC1A3
RBP2;WNT7A;RAB3A;SLC20A1
RCAN3;WNT7B;RAB3C;SLC22A16
RDH10;XKRX;RAB6B;SLC24A3
RDH13;YOD1;RAB6C;SLC24A6
RDH5;YWHAZ;RAB9B;SLC2A14
REG4;ZBED2;RADIL;SLC2A3
REPS2;ZBED5;RAI2;SLC31A2
RETSAT;ZBTB41;RAMP2;SLC37A2
RFWD2;ZCCHC6;RANBP3L;SLC39A13
RHBDL2;ZDHHC20;RAPGEF3;SLC43A3
RHOC;ZFAND2A;RARRES1;SLC46A3
RHOU;ZMYM2;RASIP1;SLC6A6
RHPN2;ZMYM5;RASL11A;SLCO2B1
RICS;ZNF114;RASSF8;SLFN12
RIMKLA;ZNF12;RBM12;SMAD7
RIPK3;ZNF137;RBM43;SMO
RNASE4;ZNF165;RBMS3;SNAI1
RNASET2;ZNF185;RBP7;SNED1
RNF103;ZNF229;RBPJ;SNX33
RNF125;ZNF250;RBPMS;SOCS3
RNF128;ZNF273;RBPMS2;SORCS2
RNF133;ZNF3;RCAN1;SOX11
RNF148;ZNF365;RCAN2;SPARC
RNF183;ZNF487;RDX;SPATA9
RNF32;ZNF655;REEP1;SPHK1
RNF39;ZNF701;RELL1;SPINK6
RNF43;ZNF750;REM1;SPOCK1
RNPEP;ZNF761;RERG;SPON1
RNPEPL1;ZNF841;RERGL;SPON2
RP11-327P2.4;ZPBP2;REV3L;SPP1
RP11-93B14.6;hCG_1644608;RFTN2;SPRED1
RPS27L;hCG_1818231;RFX2;SPRY4
RPS6KA1;hCG_1981531;RGMA;SPSB1
RTN4R;;RGS5;SPTLC2
RTP4;;RGS6;SRGAP2P1
S100A10;;RGS7BP;SRPX2
S100A14;;RHOJ;ST6GAL2
S100A16;;RIMKLB;STAT1
S100P;;RIT2;STAT2
SAMD12;;RND3;STEAP1
SAMD13;;RNF11;STK38
SCIN;;RNF122;STK38L
SCYL3;;RNF175;STRA6
SDC1;;ROBO4;STX4
SDCBP2;;ROCK1;SUCNR1
SDR16C5;;ROCK2;SUFU
SEC16A;;ROM1;SULF1
SELENBP1;;ROR1;SULF2
SEMA3B;;RORB;SUMF1
SEMA4G;;RPGR;TBC1D2
SEMG1;;RPL22;TCF4
SEPW1;;RPS4Y1;TCP11L1
SERINC2;;RPS6KA5;TGFB3
SERINC5;;RRAGA;TGFBI
SERPINB1;;RSPO1;TGFBR1
SERPINB6;;RSPO3;TGIF1
SGK493;;RUNDC3B;THBS1
SGPP2;;RYR2;THBS2
SGSM3;;S100B;THBS3
SH3BGRL2;;S1PR1;THBS4
SH3RF1;;SAMHD1;THY1
SHANK2;;SAP30L;TIMP1
SHB;;SASH1;TIMP3
SHROOM3;;SAV1;TLR1
SI;;SBDS;TLR2
SIPA1L2;;SCAPER;TLR7
SIRT7;;SCARA5;TM4SF1
SLC10A2;;SCN2B;TM7SF4
SLC12A2;;SCN7A;TMEM106A
SLC15A1;;SCRG1;TMEM119
SLC16A4;;SDPR;TMEM127
SLC16A5;;SEC14L5;TMEM173
SLC1A1;;SEC62;TMEM200A
SLC22A18;;SELE;TMEM200B
SLC22A18AS;;SELM;TMEM204
SLC25A23;;SELP;TMEM26
SLC25A31;;SEMA3G;TMEM43
SLC26A9;;SEMA5A;TMEM45A
SLC27A4;;SEMA6D;TMSB15B
SLC28A2;;10-Sep;TNFAIP6
SLC35A2;;4-Sep;TNFRSF12A
SLC35A3;;SERINC1;TNFRSF8
SLC35C1;;SESTD1;TNFSF13B
SLC35D2;;SETBP1;TNFSF4
SLC37A1;;SFRP1;TNN
SLC39A4;;SFRS2B;TNS3
SLC40A1;;SGCA;TP53BP2
SLC41A2;;SGCE;TP53I3
SLC44A1;;SGEF;TPM4
SLC44A2;;SGMS1;TPP1
SLC44A3;;SH3BGRL;TPRG1
SLC44A4;;SH3BP5;TPSAB1
SLC45A3;;SH3D19;TPST1
SLC5A1;;SHC3;TRAM2
SLC6A10P;;SHC4;TREM1
SLC6A14;;SHE;TREM2
SLC6A20;;SHISA3;TRPC5
SLC7A4;;SIRT1;TRPS1
SLC7A7;;SLC35F1;TRPV2
SLC9A1;;SLC48A1;TSHZ3
SLC9A2;;SLC7A10;TSPAN9
SLC9A8;;SLC8A1;TTLL1
SMPD2;;SLCO1C1;TUBB3
SMPD3;;SLIT2;TUBB6
SMUG1;;SLIT3;TWIST1
SOX4;;SLMAP;TXNDC3
SOX9;;SMAD1;TYROBP
SPDEF;;SMAD4;UACA
SPG11;;SMAD5OS;UBE2E2
SPINK4;;SMAD9;UGDH
SPINK5;;SMARCA2;UNC5B
SPINK5L3;;SMOC2;UNQ1944
SPIRE2;;SMTN;VASH1
SPNS2;;SNCA;VASN
SPSB2;;SNRK;VCAN
SRD5A3;;SNX7;VCL
SSTR1;;SNX9;VDR
ST14;;SOCS2;VENTX
ST6GALNAC1;;SOCS5;VIM
STAP2;;SOD3;VMO1
STARD10;;SORBS1;VSIG4
STK31;;SORCS1;VSNL1
STK39;;SORCS3;WASF1
STX3;;SOS2;WDFY1
SULT1A4;;SOX2;WDR1
SULT1B1;;SOX2OT;WISP1
SULT1C2;;SOX5;WNT2
SULT1E1;;SPARCL1;WNT5A
SULT2B1;;SPATA6;WT1
SYNGR2;;SPEG;XYLT1
SYTL2;;SPESP1;YWHAH
SYTL5;;SPG20;ZEB1
TAC3;;SPOP;ZEB2
TAGLN2;;SPOPL;ZFHX4
TAX1BP1;;SPRY1;ZFPM2
TBC1D8B;;SPRY2;ZNF217
TBXAS1;;SPTBN1;ZNF281
TCN1;;SRI;ZNF300
TESC;;SRP14P1;ZNF362
TFCP2L1;;SRPX;ZNF423
TFF1;;SSBP2;ZNF469
TFF2;;SSPN;ZNF521
TFF3;;ST6GALNAC3;ZNF532
TGOLN2;;ST6GALNAC5;ZNF683
TJP3;;ST6GALNAC6;ZNF697
TLL2;;STAG2;ZNF790
TM4SF20;;STAR;ZNFX1
TM4SF5;;STARD13;ZSWIM6
TM9SF3;;STEAP2;ZYX
TMBIM1;;STEAP4;
TMC4;;STOM;
TMC5;;STON1;
TMCO4;;STON1-GTF2A1L;
TMEM102;;STOX1;
TMEM125;;STX12;
TMEM133;;SUSD5;
TMEM139;;SV2C;
TMEM141;;SVEP1;
TMEM144;;SYDE2;
TMEM163;;SYNC;
TMEM171;;SYNE1;
TMEM184A;;SYNM;
TMEM2;;SYNPO2;
TMEM30B;;SYS1;
TMEM45B;;SYT11;
TMEM54;;SYTL4;
TMEM55B;;TAC1;
TMEM63A;;TACC1;
TMEM92;;TAGLN;
TMEM98;;TANC1;
TMPRSS2;;TASP1;
TMPRSS3;;TBC1D1;
TMPRSS4;;TBC1D19;
TMTC2;;TBX18;
TMTC4;;TCEAL1;
TNFRSF11A;;TCEAL3;
TNFSF13;;TCEAL4;
TNFSF15;;TCEAL5;
TNIK;;TCEAL6;
TOX3;;TCEAL7;
TP53I11;;TCEAL8;
TP53INP2;;TCF15;
TPD52;;TCF7L1;
TPK1;;TENC1;
TPRG1L;;TERF1;
TRAF4;;TGFBR2;
TRAK1;;TGFBR3;
TRAPPC6A;;THSD7A;
TRIM14;;TIE1;
TRIM15;;TIMP4;
TRIM2;;TJP1;
TRIM31;;TLL1;
TRIM36;;TMEM109;
TRIM7;;TMEM117;
TRPA1;;TMEM168;
TRPM4;;TMEM178;
TSPAN1;;TMEM35;
TSPAN15;;TMEM47;
TSPAN3;;TMEM55A;
TSPAN8;;TMEM88;
TST;;TMOD2;
TSTA3;;TMTC1;
TTC15;;TNAP;
TTC39B;;TNC;
TTLL12;;TNMD;
TTYH3;;TOMM7;
TUBAL3;;TOPORS;
TUFT1;;TOR1AIP1;
UBE2Q1;;TOX4;
UBXN10;;TPM1;
UGT1A8;;TPM2;
UGT8;;TPPP;
UPK1B;;TPSD1;
USH1C;;TRAF3IP1;
USP54;;TRAK2;
VAMP8;;TRIM9;
VIL1;;TROVE2;
VILL;;TRPC1;
VNN1;;TSC22D1;
VPS13A;;TSLP;
VPS24;;TSPAN11;
VSIG1;;TSPAN18;
VSIG2;;TSPAN2;
WBP2NL;;TSPYL1;
WDR51B;;TTC28;
WDR72;;TTLL7;
WWC1;;TTTY15;
WWP1;;TUB;
XK;;TUBB2B;
ZBTB7B;;TUSC1;
ZC3H12A;;TWIST2;
ZC4H2;;TXNDC16;
ZDHHC3;;UFSP2;
ZDHHC9;;ULK2;
ZFAND2B;;UNQ5840;
ZFYVE28;;UNQ6975;
ZMYND15;;USP53;
ZNF513;;USP9Y;
ZNF518A;;UST;
ZNF600;;UTRN;
ZNF653;;UTY;
ZNF706;;VAMP5;
ZNF823;;VEGFC;
ZNRF2;;VEZF1;
ZSCAN4;;VGLL3;
hCG_1643808;;VIT;
hCG_1774568;;VLDLR;
hCG_1988300;;VWC2;
tcag7.977;;VWF;
;;WARS2;
;;WASF3;
;;WBP5;
;;WBSCR17;
;;WDR19;
;;WDR47;
;;WFDC1;
;;WFS1;
;;WISP2;
;;WNT11;
;;WWTR1;
;;XG;
;;XKR4;
;;XPA;
;;YAP1;
;;YPEL5;
;;ZBTB16;
;;ZBTB38;
;;ZBTB4;
;;ZBTB8;
;;ZCCHC12;
;;ZCCHC24;
;;ZCCHC5;
;;ZDHHC15;
;;ZFP28;
;;ZFP36;
;;ZFP82;
;;ZFP90;
;;ZFYVE21;
;;ZHX1;
;;ZHX3;
;;ZMYND11;
;;ZNF25;
;;ZNF256;
;;ZNF271;
;;ZNF350;
;;ZNF366;
;;ZNF385D;
;;ZNF415;
;;ZNF426;
;;ZNF436;
;;ZNF449;
;;ZNF471;
;;ZNF502;
;;ZNF536;
;;ZNF568;
;;ZNF582;
;;ZNF610;
;;ZNF644;
;;ZNF649;
;;ZNF660;
;;ZNF71;
;;ZNF829;
;;hCG_1776007;
;;hCG_2045899;